,DBC,EEM,EFA,GLD,IEF,IWM,QQQ,SPY,TLT,VNQ
2007-11-27,0.0,0.0,0.0,0.0,0.4285211014491184,0.0,0.0,0.5714788985508816,0.0,0.0
2007-11-28,0.0,0.0,0.0,0.0,0.41996223521007836,0.0,0.0,0.5800377647899216,0.0,0.0
2007-11-29,0.0,0.0,0.0,0.0,0.42124852553101644,0.0,0.0,0.5787514744689835,0.0,0.0
2007-11-30,0.0,0.0,0.0,0.0,0.4191449599427097,0.0,0.0,0.5808550400572903,0.0,0.0
2007-12-03,0.09982982343051863,4.8396746742722776e-18,0.0,0.0,0.40037435125069065,2.12283829788312e-18,0.01588610814017346,0.20228591224468348,0.2799604327748936,0.001663372159040383
2007-12-04,0.10040057073430302,4.832461809885361e-18,0.0,0.0,0.40119082124016375,2.1027858161318153e-18,0.015838359498098257,0.20070374921623124,0.2802461081630421,0.0016203911481616029
2007-12-05,0.09983796170558715,5.056723198377222e-18,0.0,0.0,0.40044509215689617,2.1486837203175875e-18,0.01615359784189513,0.2044530598460993,0.27743215914876573,0.0016781293007565165
2007-12-06,0.10159337877034208,5.13388030126641e-18,0.0,0.0,0.39814667017474487,2.198512357420741e-18,0.016377536356993735,0.20728060897263376,0.2748711348097991,0.0017306709154865994
2007-12-07,0.10187862990262068,5.103727061209842e-18,0.0,0.0,0.39797678732281283,2.218605785363614e-18,0.016479836781800622,0.2084940555758942,0.27343570443832044,0.0017349859785512772
2007-12-10,0.10190508908308601,5.109957689573618e-18,0.0,0.0,0.39741546629586727,2.238160679749841e-18,0.016560990180106296,0.21030136995919502,0.2720432583203271,0.0017738261614183458
2007-12-11,0.10224137489467751,4.867108853093517e-18,0.0,0.0,0.40068293665171045,2.148414039642924e-18,0.01608909742645223,0.20343053853244927,0.2758848469530391,0.0016712055416715397
2007-12-12,0.10516464041722119,5.0194767120880016e-18,0.0,0.0,0.397835170759602,2.1669005091690414e-18,0.01625378099469987,0.20569769312332437,0.2733810315629393,0.0016676831422132363
2007-12-13,0.10483965819564668,4.918707545871495e-18,0.0,0.0,0.3979041115215723,2.1714868838307567e-18,0.016289057298479074,0.2068347789049139,0.2724710886880386,0.0016613053913495848
2007-12-14,0.10473670664767804,4.830331065383136e-18,0.0,0.0,0.3991319370327693,2.1419862328897595e-18,0.016218335171877367,0.2054397191086672,0.27284403905839155,0.0016292629806164906
2007-12-17,0.1041281652865205,4.6201492151294614e-18,0.0,0.0,0.4011352515589832,2.1071933387701976e-18,0.015809151919953038,0.20232110709465576,0.27502885126473514,0.001577472875152165
2007-12-18,0.10334077266531953,4.731250960005239e-18,0.0,0.0,0.4005934268931738,2.1377442091112906e-18,0.015807418033464745,0.20277611057675488,0.2758857470070442,0.0015965248242429337
2007-12-19,0.10351366239159392,4.724934177847321e-18,0.0,0.0,0.40064477048395497,2.1360351722359884e-18,0.01568105016622229,0.20119540589953172,0.27736488262088443,0.001600228437812776
